income,education,age
10566,Primary School,51
12526,Primary School,60
15312,Bachelor's degree,56
14263,Bachelor's degree,56
12149,Higher Diploma,57
10060,Primary School,55
10606,Higher Diploma,57
13218,Primary School,55
14690,Higher Diploma,56
13593,Primary School,50
14463,Primary School,54
15387,Primary School,50
10093,Primary School,52
15842,Primary School,51
11742,Primary School,58
,Higher Diploma,55
14316,Primary School,58
14992,Primary School,56
10513,Primary School,55
15997,Primary School,52
11024,Bachelor's degree,59
13038,Primary School,59
14205,Primary School,54
12740,Primary School,60
11995,Primary School,52
13884,Primary School,52
10063,Bachelor's degree,57
13586,Primary School,55
10736,Primary School,52
10740,Primary School,59
15470,Primary School,57
14426,Primary School,
10626,Primary School,52
11796,Primary School,54
12514,Primary School,55
11073,Secondary School,53
15581,Secondary School,51
14403,Secondary School,55
14708,Bachelor's degree,60
15334,Secondary School,53
12850,Primary School,54
14169,Primary School,55
12734,Bachelor's degree,52
13065,Primary School,54
12340,Primary School,56
13895,Primary School,59
12019,Primary School,56
11927,Primary School,56
15845,Bachelor's degree,54
10715,Primary School,54
12188,Primary School,59
13187,Primary School,50
11368,Primary School,56
15389,Primary School,59
12402,,52
15047,Primary School,56
10442,Primary School,55
14800,Primary School,55
15826,Primary School,58
10163,Primary School,58
16897,Secondary School,57
17901,Secondary School,59
12459,Secondary School,59
14274,Secondary School,55
15119,Secondary School,56
14743,Bachelor's degree,48
17278,Secondary School,53
16008,Secondary School,57
18296,Secondary School,51
15324,Secondary School,46
14800,Secondary School,46
12998,Bachelor's degree,46
18778,Higher Diploma,57
13402,Secondary School,46
18045,Secondary School,45
15933,Secondary School,45
18169,Bachelor's degree,59
18486,Secondary School,55
12543,Secondary School,50
13107,Secondary School,52
14072,Secondary School,57
12980,Secondary School,54
18609,Secondary School,52
16385,Secondary School,45
13693,Secondary School,52
18104,Secondary School,48
12667,Secondary School,53
13696,Secondary School,50
18093,Bachelor's degree,57
18642,Secondary School,54
14164,Secondary School,59
15073,Secondary School,60
16478,Secondary School,46
18358,Secondary School,47
14334,Secondary School,54
15123,Secondary School,45
15874,Secondary School,50
13069,Secondary School,45
